USER_ID,SIGNUP_DATE,SIGNUP_CHANNEL,EMAIL_TYPE,JOB_TITLE,COUNTRY,M1_RETAINED
7.6083E+17,2030-10-01 0:00,invites,Business,designer,Kazakhstan,1
7.74921E+17,2030-11-09 0:00,invites,Personal,marketer,Russia,1
7.81443E+17,2030-11-27 0:00,search,Personal,designer,Russia,1
7.80829E+17,2030-11-25 0:00,search,Personal,developer,Brazil,1
7.47861E+17,2030-08-26 0:00,direct,Personal,designer,Canada,1
7.92994E+17,2030-12-29 0:00,search,Personal,designer,Taiwan,0
7.69506E+17,2030-10-25 0:00,direct,Business,project-manager,Germany,1
7.8045E+17,2030-11-24 0:00,search,Education,designer,United Kingdom,0
7.73632E+17,2030-11-05 0:00,invites,Business,marketer,United States,1
7.75397E+17,2030-11-10 0:00,direct,Personal,other,Indonesia,0
7.7454E+17,2030-11-08 0:00,shares,Business,developer,Poland,1
7.64805E+17,2030-10-12 0:00,search,Personal,designer,India,1
7.48094E+17,2030-08-27 0:00,direct,Business,developer,Turkey,1
7.45336E+17,2030-08-19 0:00,search,Business,designer,United States,1
7.67665E+17,2030-10-20 0:00,direct,Business,other,United Kingdom,0
7.60119E+17,2030-09-29 0:00,shares,Personal,developer,Malaysia,0
7.35378E+17,2030-07-23 0:00,direct,Business,project-manager,Japan,0
7.22776E+17,2030-06-18 0:00,search,Personal,other,Azerbaijan,0
7.05817E+17,2030-05-02 0:00,search,Personal,designer,Russia,1
7.13472E+17,2030-05-23 0:00,search,Personal,designer,Pakistan,0
7.78812E+17,2030-11-20 0:00,product_referral,Personal,developer,Vietnam,0
7.89403E+17,2030-12-19 0:00,shares,Personal,other,Germany,0
7.89777E+17,2030-12-20 0:00,shares,Personal,developer,Russia,1
7.71065E+17,2030-10-29 0:00,direct,Personal,designer,Russia,0
7.47682E+17,2030-08-26 0:00,search,Business,developer,United Arab Emirates,0
7.30433E+17,2030-07-09 0:00,shares,Business,project-manager,Germany,0
7.52855E+17,2030-09-09 0:00,product_referral,Personal,project-manager,Russia,1
7.6092E+17,2030-10-01 0:00,search,Business,designer,United States,0
7.50542E+17,2030-09-03 0:00,shares,Personal,designer,Brazil,1
7.61941E+17,2030-10-04 0:00,search,Business,designer,Russia,1
7.5135E+17,2030-09-05 0:00,direct,Personal,designer,Germany,1
7.21384E+17,2030-06-14 0:00,invites,Personal,other,Malaysia,1
7.19849E+17,2030-06-10 0:00,search,Business,designer,India,1
7.10791E+17,2030-05-16 0:00,search,Personal,designer,Russia,1
7.04589E+17,2030-04-29 0:00,invites,Personal,designer,France,1
7.10159E+17,2030-05-14 0:00,search,Personal,designer,Russia,1
7.1496E+17,2030-05-27 0:00,search,Personal,designer,Russia,0
7.1717E+17,2030-06-03 0:00,direct,Personal,other,South Africa,0
7.10898E+17,2030-05-16 0:00,search,Personal,designer,Russia,0
6.85E+17,2030-03-06 0:00,direct,Personal,developer,Canada,1
6.76013E+17,2030-02-09 0:00,search,Personal,designer,Romania,1
6.67863E+17,2030-01-17 0:00,direct,Personal,other,Ukraine,1
6.83254E+17,2030-03-01 0:00,search,Personal,designer,Ukraine,0
7.91275E+17,2030-12-24 0:00,search,Business,other,Russia,0
7.88664E+17,2030-12-17 0:00,direct,Personal,designer,Cambodia,1
7.92417E+17,2030-12-27 0:00,shares,Business,marketer,Chile,0
7.93526E+17,2030-12-30 0:00,shares,Business,other,United States,1
7.71984E+17,2030-11-01 0:00,shares,Personal,developer,India,0
7.71369E+17,2030-10-30 0:00,invites,Business,other,Russia,1
7.67649E+17,2030-10-20 0:00,search,Personal,designer,Ukraine,0
7.68184E+17,2030-10-21 0:00,search,Education,designer,South Africa,0
7.35569E+17,2030-07-23 0:00,search,Personal,developer,Dominican Republic,1
7.45658E+17,2030-08-20 0:00,shares,Business,project-manager,United States,1
7.62037E+17,2030-10-04 0:00,direct,Personal,developer,Costa Rica,0
7.61194E+17,2030-10-02 0:00,shares,Business,developer,Ukraine,0
7.63348E+17,2030-10-08 0:00,direct,Business,project-manager,South Korea,0
7.57523E+17,2030-09-22 0:00,search,Personal,designer,Ukraine,0
7.30665E+17,2030-07-10 0:00,shares,Personal,developer,Thailand,1
7.43683E+17,2030-08-15 0:00,shares,Personal,other,United States,0
7.52953E+17,2030-09-09 0:00,product_referral,Personal,designer,Russia,0
7.38585E+17,2030-08-01 0:00,shares,Personal,developer,Hong Kong,0
7.40277E+17,2030-08-05 0:00,shares,Business,marketer,United States,0
7.38004E+17,2030-07-30 0:00,invites,Business,developer,Brazil,0
7.34427E+17,2030-07-20 0:00,direct,Personal,other,France,0
7.23137E+17,2030-06-19 0:00,shares,Personal,other,Russia,0
7.15356E+17,2030-05-29 0:00,search,Personal,designer,Peru,0
6.97172E+17,2030-04-08 0:00,shares,Business,developer,Brazil,0
6.72341E+17,2030-01-30 0:00,invites,Business,other,Croatia,1
6.78185E+17,2030-02-15 0:00,invites,Personal,other,Norway,1
6.9545E+17,2030-04-04 0:00,product_referral,Business,developer,Japan,0
6.89409E+17,2030-03-18 0:00,direct,Business,marketer,China,0
7.05265E+17,2030-05-01 0:00,product_referral,Business,designer,India,0
7.63496E+17,2030-10-08 0:00,shares,Personal,other,Russia,1
7.81018E+17,2030-11-26 0:00,invites,Education,marketer,United States,0
7.71344E+17,2030-10-30 0:00,invites,Business,developer,United States,1
7.57302E+17,2030-09-21 0:00,search,Personal,developer,Poland,1
7.37615E+17,2030-07-29 0:00,direct,Personal,designer,Ukraine,0
7.30048E+17,2030-07-08 0:00,shares,Personal,developer,Russia,0
7.27309E+17,2030-06-30 0:00,product_referral,Personal,designer,Japan,0
6.95961E+17,2030-04-05 0:00,shares,Personal,developer,Canada,1
7.01076E+17,2030-04-19 0:00,invites,Personal,other,Russia,0
6.80138E+17,2030-02-20 0:00,shares,Personal,other,United States,0
6.6665E+17,2030-01-14 0:00,direct,Personal,other,Russia,0
6.95194E+17,2030-04-03 0:00,direct,Personal,developer,Germany,0
7.15398E+17,2030-05-29 0:00,search,Personal,designer,United States,0
7.85184E+17,2030-12-07 0:00,product_referral,Personal,developer,France,0
7.5895E+17,2030-09-26 0:00,search,Business,designer,Sweden,0
7.1407E+17,2030-05-25 0:00,search,Personal,other,Netherlands,0
6.99626E+17,2030-04-15 0:00,direct,Business,other,United Kingdom,0
6.86412E+17,2030-03-10 0:00,direct,Personal,other,Indonesia,0
7.02964E+17,2030-04-24 0:00,search,Personal,developer,Mexico,1
7.82381E+17,2030-11-29 0:00,search,Personal,designer,Czechia,0
7.5104E+17,2030-09-04 0:00,search,Personal,designer,Pakistan,1
7.51368E+17,2030-09-05 0:00,search,Personal,other,India,0
7.42265E+17,2030-08-11 0:00,product_referral,Personal,designer,Indonesia,0
7.23267E+17,2030-06-19 0:00,search,Personal,project-manager,United Kingdom,0
6.75653E+17,2030-02-08 0:00,direct,Business,designer,Spain,0
7.63337E+17,2030-10-08 0:00,search,Personal,developer,Russia,0
6.7756E+17,2030-02-13 0:00,social,Personal,developer,South Africa,0
7.84436E+17,2030-12-05 0:00,direct,Business,developer,Russia,0
7.7655E+17,2030-11-13 0:00,shares,Personal,developer,Russia,1
7.85361E+17,2030-12-08 0:00,search,Personal,designer,Sri Lanka,0
7.65815E+17,2030-10-15 0:00,shares,Personal,designer,Russia,0
7.56598E+17,2030-09-19 0:00,direct,Personal,developer,United States,0
7.63799E+17,2030-10-09 0:00,direct,Business,designer,United States,0
7.50346E+17,2030-09-02 0:00,direct,Business,marketer,Brazil,0
7.41671E+17,2030-08-09 0:00,shares,Personal,other,Canada,1
7.34139E+17,2030-07-19 0:00,invites,Business,designer,United States,0
7.04594E+17,2030-04-29 0:00,direct,Personal,other,China,0
7.42395E+17,2030-08-11 0:00,direct,Personal,other,India,0
7.54413E+17,2030-09-13 0:00,search,Personal,designer,Russia,0
7.37635E+17,2030-07-29 0:00,direct,Business,project-manager,Norway,0
7.8725E+17,2030-12-13 0:00,shares,Business,marketer,Japan,0
7.79323E+17,2030-11-21 0:00,product_referral,Personal,designer,Argentina,0
7.78535E+17,2030-11-19 0:00,direct,Personal,marketer,Russia,0
7.8724E+17,2030-12-13 0:00,invites,Business,project-manager,Slovakia,0
7.6042E+17,2030-09-30 0:00,invites,Business,designer,Germany,0
7.46675E+17,2030-08-23 0:00,invites,Personal,marketer,United Kingdom,1
7.50751E+17,2030-09-03 0:00,direct,Personal,designer,Russia,0
7.40065E+17,2030-08-05 0:00,invites,Business,designer,Australia,0
7.69943E+17,2030-10-26 0:00,direct,Personal,designer,Poland,0
7.18855E+17,2030-06-07 0:00,shares,Personal,developer,Brazil,0
6.95265E+17,2030-04-03 0:00,direct,Personal,designer,Russia,0
7.80075E+17,2030-11-23 0:00,search,Personal,developer,Cambodia,0
7.86303E+17,2030-12-10 0:00,search,Personal,marketer,Belarus,0
7.75948E+17,2030-11-12 0:00,shares,Personal,designer,South Africa,0
7.02524E+17,2030-04-23 0:00,search,Business,designer,Italy,0
6.92044E+17,2030-03-25 0:00,shares,Business,marketer,Canada,0
7.24518E+17,2030-06-23 0:00,search,Personal,designer,United States,0
7.0825E+17,2030-05-09 0:00,search,Business,project-manager,Germany,0
7.56247E+17,2030-09-18 0:00,direct,Business,designer,United States,0
7.14271E+17,2030-05-26 0:00,invites,Personal,designer,United States,0
7.51899E+17,2030-09-06 0:00,search,Business,designer,Ukraine,0
7.09962E+17,2030-05-14 0:00,search,Business,designer,Japan,0
6.89487E+17,2030-03-18 0:00,shares,Personal,developer,Russia,0
7.31068E+17,2030-07-11 0:00,invites,Business,designer,India,0
7.68053E+17,2030-10-21 0:00,shares,Personal,project-manager,Norway,0
7.84247E+17,2030-12-05 0:00,direct,Personal,other,Canada,0
7.14177E+17,2030-05-25 0:00,shares,Personal,other,Russia,0
7.19684E+17,2030-06-09 0:00,search,Personal,designer,Venezuela,0
7.6454E+17,2030-10-11 0:00,direct,Business,designer,United States,1
7.57874E+17,2030-09-23 0:00,direct,Personal,designer,Ukraine,1
7.78585E+17,2030-11-19 0:00,search,Personal,designer,Belarus,1
7.804E+17,2030-11-24 0:00,direct,Education,designer,Indonesia,0
7.78275E+17,2030-11-18 0:00,direct,Personal,designer,Egypt,0
7.73979E+17,2030-11-06 0:00,direct,Personal,marketer,United States,0
7.52108E+17,2030-09-07 0:00,search,Personal,other,Spain,1
7.22638E+17,2030-06-18 0:00,search,Personal,designer,Mexico,0
7.79334E+17,2030-11-21 0:00,search,Business,marketer,Russia,0
7.75432E+17,2030-11-10 0:00,search,Business,designer,Germany,1
7.46381E+17,2030-08-22 0:00,direct,Personal,designer,Canada,1
7.51358E+17,2030-09-05 0:00,search,Personal,designer,Ukraine,1
7.64859E+17,2030-10-12 0:00,direct,Business,marketer,United Arab Emirates,0
7.36825E+17,2030-07-27 0:00,search,Business,designer,Germany,0
6.87324E+17,2030-03-12 0:00,invites,Education,designer,United States,1
6.84876E+17,2030-03-05 0:00,search,Personal,developer,Canada,0
7.88368E+17,2030-12-16 0:00,shares,Personal,developer,Slovakia,1
7.67132E+17,2030-10-18 0:00,search,Personal,designer,Egypt,0
7.54661E+17,2030-09-14 0:00,search,Personal,designer,Ukraine,1
7.39155E+17,2030-08-02 0:00,shares,Personal,project-manager,United States,1
7.6084E+17,2030-10-01 0:00,invites,Business,other,United States,0
7.33069E+17,2030-07-16 0:00,direct,Business,developer,United States,1
7.4141E+17,2030-08-08 0:00,direct,Personal,designer,Russia,0
6.88046E+17,2030-03-14 0:00,search,Personal,marketer,Russia,1
6.80854E+17,2030-02-22 0:00,direct,Personal,other,Ukraine,0
6.75386E+17,2030-02-07 0:00,search,Personal,developer,Paraguay,0
6.80858E+17,2030-02-22 0:00,search,Personal,developer,United States,0
6.81054E+17,2030-02-23 0:00,search,Education,designer,United States,0
6.89999E+17,2030-03-20 0:00,direct,Personal,developer,Brazil,1
7.63085E+17,2030-10-07 0:00,direct,Business,designer,United States,1
7.74682E+17,2030-11-08 0:00,search,Personal,designer,United States,1
7.59672E+17,2030-09-28 0:00,direct,Personal,designer,Russia,1
6.72489E+17,2030-01-30 0:00,product_referral,Business,developer,France,0
7.58296E+17,2030-09-24 0:00,shares,Personal,project-manager,Russia,1
7.86661E+17,2030-12-11 0:00,product_referral,Business,developer,United States,1
7.70007E+17,2030-10-26 0:00,invites,Business,developer,Serbia,1
7.81537E+17,2030-11-27 0:00,shares,Personal,developer,Poland,0
7.66943E+17,2030-10-18 0:00,product_referral,Personal,developer,Ukraine,1
7.58298E+17,2030-09-24 0:00,shares,Personal,developer,Egypt,1
7.76849E+17,2030-11-14 0:00,shares,Business,project-manager,United States,0
7.81059E+17,2030-11-26 0:00,direct,Personal,marketer,Russia,0
7.78276E+17,2030-11-18 0:00,shares,Personal,marketer,Vietnam,0
7.84293E+17,2030-12-05 0:00,shares,Business,developer,Australia,1
7.71042E+17,2030-10-29 0:00,invites,Business,other,Belgium,1
7.6924E+17,2030-10-24 0:00,direct,Business,other,United States,0
7.57679E+17,2030-09-22 0:00,search,Personal,other,United States,0
7.61737E+17,2030-10-03 0:00,direct,Business,project-manager,United States,1
7.58752E+17,2030-09-25 0:00,shares,Business,other,United States,0
7.60407E+17,2030-09-30 0:00,search,Personal,developer,Russia,0
7.55516E+17,2030-09-16 0:00,shares,Business,designer,United States,0
7.61221E+17,2030-10-02 0:00,search,Personal,designer,Brazil,0
7.65523E+17,2030-10-14 0:00,product_referral,Personal,other,China,0
7.34223E+17,2030-07-20 0:00,invites,Business,developer,Brazil,1
7.46382E+17,2030-08-22 0:00,search,Personal,designer,United States,1
7.14825E+17,2030-05-27 0:00,invites,Personal,developer,Russia,1
7.3374E+17,2030-07-18 0:00,search,Personal,developer,Bulgaria,0
7.14783E+17,2030-05-27 0:00,shares,Personal,other,Russia,1
6.8685E+17,2030-03-11 0:00,shares,Personal,developer,Russia,0
6.70362E+17,2030-01-24 0:00,search,Business,other,Slovenia,1
6.64745E+17,2030-01-09 0:00,shares,Personal,developer,Russia,0
7.38038E+17,2030-07-30 0:00,direct,Personal,designer,Russia,0
7.1345E+17,2030-05-23 0:00,invites,Personal,other,Finland,1
7.17649E+17,2030-06-04 0:00,invites,Business,designer,Germany,1
7.02831E+17,2030-04-24 0:00,direct,Personal,designer,Spain,0
7.79358E+17,2030-11-21 0:00,direct,Personal,other,Indonesia,0
7.87275E+17,2030-12-13 0:00,direct,Personal,other,Russia,1
7.74828E+17,2030-11-09 0:00,direct,Personal,project-manager,South Korea,0
7.82178E+17,2030-11-29 0:00,product_referral,Personal,designer,Russia,0
7.68646E+17,2030-10-23 0:00,invites,Business,developer,Japan,1
7.53583E+17,2030-09-11 0:00,invites,Business,other,Poland,1
7.62965E+17,2030-10-07 0:00,search,Personal,designer,,1
7.34186E+17,2030-07-19 0:00,direct,Business,designer,United States,0
7.33663E+17,2030-07-18 0:00,direct,Personal,project-manager,Hungary,0
7.25672E+17,2030-06-26 0:00,shares,Personal,developer,Romania,1
7.36163E+17,2030-07-25 0:00,shares,Business,developer,Germany,0
7.22009E+17,2030-06-16 0:00,search,Personal,designer,Ukraine,0
7.27064E+17,2030-06-30 0:00,product_referral,Personal,marketer,United States,0
7.25943E+17,2030-06-27 0:00,search,Personal,developer,Malaysia,0
7.11308E+17,2030-05-17 0:00,direct,Personal,project-manager,Ukraine,0
7.15315E+17,2030-05-28 0:00,search,Personal,other,United States,1
7.04776E+17,2030-04-29 0:00,direct,Personal,designer,Luxembourg,1
6.83184E+17,2030-03-01 0:00,direct,Personal,other,United States,1
6.93231E+17,2030-03-28 0:00,search,Personal,designer,Romania,0
6.91007E+17,2030-03-22 0:00,invites,Business,project-manager,United States,0
6.64746E+17,2030-01-09 0:00,shares,Personal,developer,Russia,0
6.65245E+17,2030-01-10 0:00,search,Business,developer,Brazil,0
6.98465E+17,2030-04-12 0:00,direct,Personal,other,Indonesia,0
7.12772E+17,2030-05-21 0:00,shares,Personal,designer,Costa Rica,0
6.96535E+17,2030-04-07 0:00,search,Personal,developer,El Salvador,0
7.78311E+17,2030-11-18 0:00,search,Personal,other,Greece,0
7.58728E+17,2030-09-25 0:00,search,Personal,other,Brazil,0
7.54271E+17,2030-09-13 0:00,direct,Personal,developer,Nigeria,0
7.52983E+17,2030-09-09 0:00,product_referral,Personal,designer,Russia,0
7.3187E+17,2030-07-13 0:00,product_referral,Personal,designer,Russia,1
7.20605E+17,2030-06-12 0:00,direct,Personal,developer,Brazil,0
6.84683E+17,2030-03-05 0:00,search,Business,other,Ukraine,0
6.77846E+17,2030-02-14 0:00,search,Personal,developer,India,0
7.56691E+17,2030-09-20 0:00,search,Personal,project-manager,Japan,0
7.61609E+17,2030-10-03 0:00,direct,Personal,other,Czechia,0
7.78535E+17,2030-11-19 0:00,product_referral,Personal,designer,Russia,0
7.84795E+17,2030-12-06 0:00,shares,Personal,marketer,Russia,0
7.79828E+17,2030-11-22 0:00,search,Education,developer,United States,0
7.86563E+17,2030-12-11 0:00,social,Personal,designer,Russia,1
7.89007E+17,2030-12-18 0:00,direct,Education,designer,Indonesia,0
7.71281E+17,2030-10-30 0:00,product_referral,Personal,other,Russia,1
7.6626E+17,2030-10-16 0:00,invites,Business,developer,Poland,1
7.73486E+17,2030-11-05 0:00,product_referral,Personal,designer,Croatia,0
7.45406E+17,2030-08-19 0:00,direct,Personal,developer,United States,0
7.47735E+17,2030-08-26 0:00,shares,Personal,other,Russia,0
7.26371E+17,2030-06-28 0:00,invites,Business,developer,Vietnam,1
7.00639E+17,2030-04-18 0:00,invites,Personal,designer,Kazakhstan,0
6.67246E+17,2030-01-16 0:00,search,Business,designer,India,0
7.50759E+17,2030-09-03 0:00,direct,Personal,designer,Russia,0
7.25758E+17,2030-06-26 0:00,search,Personal,other,Russia,0
7.30954E+17,2030-07-11 0:00,direct,Personal,designer,United States,0
6.94853E+17,2030-04-02 0:00,direct,Business,project-manager,South Africa,0
7.85939E+17,2030-12-09 0:00,search,Personal,designer,Russia,0
